date_key,year,month,day,quarter,weekday
2020-04-24,2020,4,24,2,4
2020-04-26,2020,4,26,2,6
2020-04-27,2020,4,27,2,0
2020-04-28,2020,4,28,2,1
2020-04-29,2020,4,29,2,2
2020-04-30,2020,4,30,2,3
2020-05-01,2020,5,1,2,4
2020-05-02,2020,5,2,2,5
2020-05-03,2020,5,3,2,6
2020-05-04,2020,5,4,2,0
2020-05-05,2020,5,5,2,1
2020-05-06,2020,5,6,2,2
2020-05-07,2020,5,7,2,3
2020-05-08,2020,5,8,2,4
2020-05-09,2020,5,9,2,5
2020-05-10,2020,5,10,2,6
2020-05-11,2020,5,11,2,0
2020-05-12,2020,5,12,2,1
2020-05-13,2020,5,13,2,2
2020-05-14,2020,5,14,2,3
2020-05-15,2020,5,15,2,4
2020-05-16,2020,5,16,2,5
2020-05-17,2020,5,17,2,6
2020-05-18,2020,5,18,2,0
2020-05-19,2020,5,19,2,1
2020-05-20,2020,5,20,2,2
2020-05-21,2020,5,21,2,3
2020-05-22,2020,5,22,2,4
2020-05-23,2020,5,23,2,5
2020-05-24,2020,5,24,2,6
2020-05-25,2020,5,25,2,0
2020-05-26,2020,5,26,2,1
2020-05-27,2020,5,27,2,2
2020-05-28,2020,5,28,2,3
2020-05-29,2020,5,29,2,4
2020-05-30,2020,5,30,2,5
2020-05-31,2020,5,31,2,6
2020-06-01,2020,6,1,2,0
2020-06-02,2020,6,2,2,1
2020-06-03,2020,6,3,2,2
2020-06-04,2020,6,4,2,3
2020-06-05,2020,6,5,2,4
2020-06-06,2020,6,6,2,5
2020-06-07,2020,6,7,2,6
2020-06-08,2020,6,8,2,0
2020-06-09,2020,6,9,2,1
2020-06-10,2020,6,10,2,2
2020-06-11,2020,6,11,2,3
2020-06-12,2020,6,12,2,4
2020-06-13,2020,6,13,2,5
2020-06-14,2020,6,14,2,6
2020-06-15,2020,6,15,2,0
2020-06-16,2020,6,16,2,1
2020-06-17,2020,6,17,2,2
2020-06-18,2020,6,18,2,3
2020-06-19,2020,6,19,2,4
2020-06-20,2020,6,20,2,5
2020-06-21,2020,6,21,2,6
2020-06-22,2020,6,22,2,0
2020-06-23,2020,6,23,2,1
2020-06-24,2020,6,24,2,2
2020-06-25,2020,6,25,2,3
2020-06-26,2020,6,26,2,4
1970-01-01,1970,1,1,1,3
2020-06-27,2020,6,27,2,5
2020-06-28,2020,6,28,2,6
2020-06-29,2020,6,29,2,0
2020-06-30,2020,6,30,2,1
2020-07-01,2020,7,1,3,2
2020-07-02,2020,7,2,3,3
2020-07-03,2020,7,3,3,4
2020-07-04,2020,7,4,3,5
2020-07-05,2020,7,5,3,6
2020-07-06,2020,7,6,3,0
2020-07-07,2020,7,7,3,1
2020-07-08,2020,7,8,3,2
2020-01-05,2020,1,5,1,6
2020-01-06,2020,1,6,1,0
2020-01-07,2020,1,7,1,1
2020-01-08,2020,1,8,1,2
2020-01-09,2020,1,9,1,3
2020-01-10,2020,1,10,1,4
2020-01-11,2020,1,11,1,5
2020-01-12,2020,1,12,1,6
2020-01-13,2020,1,13,1,0
2020-01-14,2020,1,14,1,1
2020-01-15,2020,1,15,1,2
2020-01-16,2020,1,16,1,3
2020-01-17,2020,1,17,1,4
2020-01-18,2020,1,18,1,5
2020-01-19,2020,1,19,1,6
2020-01-20,2020,1,20,1,0
2020-01-21,2020,1,21,1,1
2020-01-22,2020,1,22,1,2
2020-01-23,2020,1,23,1,3
2020-01-24,2020,1,24,1,4
2020-01-25,2020,1,25,1,5
2020-01-26,2020,1,26,1,6
2020-01-27,2020,1,27,1,0
2020-01-28,2020,1,28,1,1
2020-01-29,2020,1,29,1,2
2020-01-30,2020,1,30,1,3
2020-01-31,2020,1,31,1,4
2020-02-01,2020,2,1,1,5
2020-02-02,2020,2,2,1,6
2020-02-03,2020,2,3,1,0
2020-02-04,2020,2,4,1,1
2020-02-05,2020,2,5,1,2
2020-02-06,2020,2,6,1,3
2020-02-07,2020,2,7,1,4
2020-02-08,2020,2,8,1,5
2020-02-09,2020,2,9,1,6
2020-02-10,2020,2,10,1,0
2020-02-11,2020,2,11,1,1
2020-02-12,2020,2,12,1,2
2020-02-13,2020,2,13,1,3
2020-02-14,2020,2,14,1,4
2020-02-15,2020,2,15,1,5
2020-02-16,2020,2,16,1,6
2020-02-17,2020,2,17,1,0
2020-02-18,2020,2,18,1,1
2020-02-19,2020,2,19,1,2
2020-02-20,2020,2,20,1,3
2020-02-21,2020,2,21,1,4
2020-02-22,2020,2,22,1,5
2020-02-23,2020,2,23,1,6
2020-02-24,2020,2,24,1,0
2020-02-25,2020,2,25,1,1
2020-02-26,2020,2,26,1,2
2020-02-27,2020,2,27,1,3
2020-02-28,2020,2,28,1,4
